,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
wer,89.0,0.46191011235955065,0.4228042110945744,0.0,0.308,0.387,0.5,4.0,6.7394662620149886,53.53788622282968
wer_token,89.0,0.2518314606741573,0.2524581529659491,0.0,0.0,0.207,0.421,1.0,0.8846499775688139,0.02227508440365833
levenshtein,89.0,31.95505617977528,18.13454144616613,0.0,18.0,30.0,45.0,91.0,0.8832322830885609,0.9111515007169588
levenshtein_pct,89.0,0.29038202247191014,0.25448725211946804,0.0,0.185,0.229,0.321,2.2,5.116039397708986,34.28850330831437
accuracy,89.0,0.21441573033707864,0.24636285180551196,0.0,0.0,0.138,0.333,1.0,1.0933058857075313,0.45078956182863905
bleu3,89.0,0.5004157303370788,0.1892938317794445,0.0,0.392,0.516,0.646,1.0,-0.4367880167609729,0.4467019924073212
meteor,89.0,0.6664943820224719,0.18174727230637314,0.0,0.579,0.701,0.784,1.0,-1.0452375758479768,1.7686749120213534
chrf,89.0,71.03450561797754,14.59876440064488,10.674,65.297,73.315,79.598,100.0,-1.1570116696105295,2.5361470538712583
rougeL,89.0,0.6943033707865168,0.1544182929353065,0.0,0.615,0.741,0.788,1.0,-1.3833739698720557,3.470462833365808
latency_sec,89.0,4.3888539325842695,1.2113025910391768,1.831,3.533,4.189,4.86,8.648,1.1127306076991799,1.770346667894148
memory_mb,89.0,7.931573033707865,14.878514168460597,0.0,0.0,0.8,7.94,71.38,2.6990346709778494,7.59021205685141
tokens,89.0,22.134831460674157,8.40885762865557,2.0,16.0,20.0,27.0,43.0,0.4559219348399504,-0.020399385960741423
latency_per_token,89.0,0.22706079181493213,0.11354526004950544,0.09955882352941176,0.1670769230769231,0.20593333333333333,0.2644444444444444,0.9155,3.32134351831343,15.933887024623644
memory_per_token,89.0,0.38917549830640663,0.7622076038850436,0.0,0.0,0.030344827586206897,0.3585714285714286,3.7568421052631575,2.6767564938621167,6.974730762253008
wer_per_token,89.0,0.03919224081234421,0.14316689817536798,0.0,0.011918918918918919,0.01835294117647059,0.026333333333333334,1.3333333333333333,8.53615098406176,73.93880234747095
